n_strands,beta_fraction,radial_cv,beta_radial_score,central_pore_score,propeller_score,accession
4,0.030595813204508857,0.5,0.0,0.2575103986069565,0.0,Q9UK73
30,0.28900709219858156,0.7520598769187927,6.6663842922382415,0.11071018995225594,0.738036671288431,Q14145
3,0.12048192771084337,0.5,0.0,0.0843919829781101,0.0,P78317
9,0.1037463976945245,0.21285691857337952,5.879729398506899,0.17654862528717294,1.0380581423669692,P98170
7,0.1711229946524064,0.1638370156288147,5.044185116658476,0.3323890950859642,1.6766321263721997,Q00987
15,0.3253968253968254,0.3338579535484314,7.6931805532018736,0.06402869422775832,0.4925843052798994,Q96SW2
22,0.4158415841584158,0.43233558535575867,9.266180648475524,0.17366595992741693,1.6092201571783566,Q66K64
7,0.25806451612903225,0.24983450770378113,4.247120116697253,0.19148936700558436,0.8132783427430407,P40337
28,0.15421002838221382,0.36515194177627563,13.489351907444783,0.05809355758410549,0.7836444418074068,Q9Y4B6
4,0.0967741935483871,0.5,0.0,0.4251328146975881,0.0,Q9Y508
9,0.08215962441314555,0.39569470286369324,4.078931927252271,0.09622149914607364,0.3924809449549969,Q13489
9,0.07494646680942184,0.5918870568275452,2.755090974567103,0.1126515734179206,0.31036533319449644,Q13490
6,0.13191489361702127,0.30133959650993347,3.2840593904225575,0.10654305629469929,0.34989372450892636,Q96JG8
14,0.1065989847715736,0.28631821274757385,7.8965101137816,0.3092566716115413,2.442048435134971,Q96IG2
0,0.0,0.5,0.0,0.4082087372050285,0.0,Q96HR3
0,0.01646090534979424,0.5,0.0,0.10765970455999989,0.0,Q96GG9
4,0.034739454094292806,0.5,0.0,0.055228606758621186,0.0,Q96JB5
3,0.11764705882352941,0.5,0.0,0.3020220398037797,0.0,Q96GF1
3,0.05121293800539083,0.5,0.0,0.1833181127531382,0.0,Q96G75
27,0.26521060842433697,0.3076306879520416,14.593489288357285,0.06471306154661688,0.9443893704973592,Q96J02
6,0.13692946058091288,0.34537702798843384,3.0071879711740066,0.16341383192677797,0.49141610969365757,Q96BH1
28,0.402088772845953,0.32922303676605225,14.49434301842532,0.19167589949090627,2.778216235586411,Q96JK2
0,0.0,0.5,0.0,0.1094171329956087,0.0,Q96G25
90,0.4126846220677672,0.23793146014213562,55.92137856356714,0.15636270486730375,8.744018012107816,Q96JN8
2,0.018272425249169437,0.5,0.0,0.20893788157972357,0.0,Q96JP0
0,0.14393939393939395,0.5,0.0,0.49573327829035324,0.0,Q96JP5
3,0.07142857142857142,0.5,0.0,0.1499959877460084,0.0,Q96K19
15,0.24879227053140096,0.6409162282943726,4.162924135430777,0.10466614269212493,0.43571721157548854,Q96KE9
17,0.27466666666666667,0.4353509247303009,7.117179395344879,0.09722865335582342,0.6919937683011962,Q96L50
20,0.19842829076620824,0.37482744455337524,9.450591994339957,0.13933811821882913,1.3168277045452612,Q96LD4
4,0.15333333333333332,0.5,0.0,0.27864482831993775,0.0,Q96LR5
0,0.0,0.5,0.0,0.1850189274072949,0.0,Q96M02
16,0.22933884297520662,0.42598676681518555,6.825155936230862,0.16479582407605609,1.124757196958751,Q96JM7
24,0.32,0.45645269751548767,9.632554306249974,0.09259122504091659,0.8918900034888415,Q96FA3
5,0.10843373493975904,0.5,0.0,0.11767716358927784,0.0,Q96FW1
0,0.014598540145985401,0.5,0.0,0.11878103659860474,0.0,Q96DX5
16,0.20924574209245742,0.4466133415699005,6.549325315666366,0.13096896237843567,0.8577583408716446,Q96BQ3
5,0.17,0.5,0.0,0.2704395418095893,0.0,Q96BR9
3,0.017980636237897647,0.5,0.0,0.05484230105979091,0.0,Q96C12
4,0.11392405063291139,0.5,0.0,0.23720708607803628,0.0,Q96CA5
12,0.1876750700280112,0.278780996799469,6.871240490171358,0.23413448004337845,1.6087943194192798,Q96CD0
31,0.29009009009009007,0.7314549088478088,7.1784062436875855,0.17817535443099178,1.2790150767186799,Q96CT2
7,0.325,0.2779909074306488,4.014562335839113,0.26158912304137205,1.0501658408270755,Q96CX2
6,0.21495327102803738,0.21215489506721497,3.9253270754746294,0.13280543293530084,0.5213047616710664,Q96D59
0,0.0,0.5,0.0,0.08374289496352408,0.0,Q96DE5
14,0.16417910447761194,0.6816361546516418,3.581511866387307,0.09472149005263232,0.33924614062538994,Q96DX4
4,0.08080808080808081,0.5,0.0,0.1957158535829915,0.0,Q96DX7
0,0.0,0.5,0.0,0.3072947105959894,0.0,Q96FV3
24,0.5163398692810458,0.35318663716316223,11.842331840131717,0.2698696660487008,3.1958861389342426,Q96EE3
10,0.312,0.3242889642715454,5.227886912729102,0.1034063872604078,0.5405968986512832,Q96EF6
14,0.3605769230769231,0.4418579638004303,5.785422559750248,0.23117200948581632,1.3374277588620402,Q96EH8
5,0.12444444444444444,0.5,0.0,0.10592403695019212,0.0,Q96M61
17,0.17718446601941748,0.3495880961418152,8.448907573530812,0.20513163104397084,1.7331381910981334,Q96EP1
6,0.12345679012345678,0.1938626766204834,4.071592155626517,0.13886418923843957,0.5653983436006668,Q96EQ8
2,0.03076923076923077,0.5,0.0,0.07646363735453089,0.0,Q96EX2
15,0.1864801864801865,0.3643440306186676,7.238124601239906,0.24095747158268627,1.744080202915207,Q96F44
0,0.015748031496062992,0.5,0.0,0.16057985974027875,0.0,Q96BM1
12,0.22163588390501318,0.42320746183395386,5.147399965487996,0.12889123499979144,0.6634547385896317,Q96FN5
12,0.08121212121212121,0.2684233486652374,7.015064811204647,0.09910903623122307,0.6952563125380594,Q96EP0
27,0.25585585585585585,0.8174690008163452,5.2640403768700015,0.052837716332684755,0.2781398721968561,Q96PQ7
29,0.2773851590106007,0.7907699942588806,5.964086148015125,0.04289669276468102,0.2558395711134947,Q96M94
7,0.18877551020408162,0.3224497437477112,3.673006959321824,0.18555627158553875,0.6815494768794943,Q9BSM1
32,0.41294642857142855,0.3073807656764984,17.304634770744013,0.26747278925492607,4.6285189291686795,Q9BQ87
27,0.4087193460490463,0.33422696590423584,13.837508802882052,0.19489641906213345,2.696880914422461,Q9BQ90
27,0.5098039215686274,0.3246973752975464,14.10376968798443,0.2983148266376804,4.207363609408847,Q9BQA1
13,0.3288888888888889,0.33492419123649597,6.6532201795474855,0.10352786664284785,0.6887936914936963,Q9BR09
35,0.3054101221640489,0.556515097618103,11.499664560058305,0.07864459978566318,0.9043865169951598,Q9BRZ2
0,0.0,0.5,0.0,0.47773725542343237,0.0,Q9BS18
7,0.28270042194092826,0.15495987236499786,5.134540750989233,0.1355617415040739,0.6960472860277359,Q9BSF8
15,0.2216624685138539,0.393478661775589,6.828417016575443,0.12061217262097819,0.8235902119312223,Q9BSJ1
2,0.01877133105802048,0.5,0.0,0.15220993697413304,0.0,Q9BSK4
4,0.10108303249097472,0.5,0.0,0.12492373169447468,0.0,Q9BSL1
0,0.0,0.5,0.0,0.13895304113717588,0.0,Q9BT67
